 ,,,,,,,,January ,,,,,,,February,,,,,,,,,,March ,,,,,,,,,,April ,,,,,,,,,May,,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,,September,,,,,,,,,,,,October,,,,,,,,,November,,,,,,,,December,,,,,,,,,
HEAD Warriors,Warriors 16 Cadete,,,,,,,Madrid,Madrid,,,,,,,,,,,,,,,,,,,Sevilla,Sevilla,,,,,Alicante,Alicante,,,,,,,,,,,Zaragoza,Zaragoza,,,,,,,,,Lleida,Lleida,Madrid,Madrid,Gijon,Gijon,A Coruña,A Coruña,Tenerife,Tenerife,Castellon,Castellon,Salamanca,Salamanca,Tarragona,Tarragona,,,,,,,Valencia,Valencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warriors 14 Infantil ,,,,,,,Madrid,Madrid,,,,,,,,,,,,,,,,,,,Sevilla,Sevilla,,,,,Alicante,Alicante,,,,,,,,,,,Zaragoza,Zaragoza,,,,,,,,,Lleida,Lleida,Madrid,Madrid,Gijon,Gijon,A Coruña,A Coruña,Tenerife,Tenerife,Castellon,Castellon,Salamanca,Salamanca,Tarragona,Tarragona,,,,,,,Valencia,Valencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warriors 12 Alevin,,,,,,,Madrid,Madrid,,,,,,,,,,,,,,,,,,,Sevilla,Sevilla,,,,,Alicante,Alicante,,,,,,,,,,,Zaragoza,Zaragoza,,,,,,,,,Lleida,Lleida,Madrid,Madrid,Gijon,Gijon,A Coruña,A Coruña,Tenerife,Tenerife,Castellon,Castellon,Salamanca,Salamanca,Tarragona,Tarragona,,,,,,,Valencia,Valencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warriors 10 Benjamin,,,,,,,Madrid,Madrid,,,,,,,,,,,,,,,,,,,Sevilla,Sevilla,,,,,Alicante,Alicante,,,,,,,,,,,Zaragoza,Zaragoza,,,,,,,,,Lleida,Lleida,Madrid,Madrid,Gijon,Gijon,A Coruña,A Coruña,Tenerife,Tenerife,Castellon,Castellon,,Salamanca,Tarragona,Tarragona,,,,,,,Valencia,Valencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Madrid Open U16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEVILLA JOE D,,,,,,,,,,,,,,,,
,Vanguard Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Promotional Events ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week Commencing/Weekend Dates ,,,,,,,,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend 
